source_folder,source_file,family,system_label,refrigerant,pi1,pi2,pi3,pi4,pi5,m_flow_g_s,m_flow_kg_s,Pin_Pa,Pout_Pa,deltaP_Pa,subcooling_K,Tin_K,rho_in_kg_m3,pcrit_Pa,tcrit_K,Aref_m2,Cd_true,dataset_sha256
newdata2,fixed_data_ihx_35_R1270.pkl,35_R1270,ihx,R1270,0.18509644760651067,0.006994717401516212,1.713208463960051,2.213480762171238e-06,1.0,16528.74729156495,16.528747291564947,1452231.4453125,609117.1264648439,843114.3188476561,2.547553019523621,305.10049249768076,494.24912393949484,4555000.0,364.211,2.544690049407732e-06,224.99551636451687,5bc8b586deb2718e9dc43489e81e37e46cfb3eb36219c59dc0dd6de20034fe12
newdata2,fixed_data_ihx_35_R1270.pkl,35_R1270,ihx,R1270,0.22964534487342203,0.006362834581441175,1.7228118122488356,2.2567212668533567e-06,1.1000000238418595,9973.787097930906,9.973787097930906,1437443.84765625,391409.3017578126,1046034.5458984374,2.317414345741272,304.8943938050904,494.59222322959175,4555000.0,364.211,2.544690049407732e-06,121.84663742478648,5bc8b586deb2718e9dc43489e81e37e46cfb3eb36219c59dc0dd6de20034fe12
newdata2,fixed_data_ihx_35_R1270.pkl,35_R1270,ihx,R1270,0.1660574987350782,0.006718264594381373,1.7104939308219775,2.2013175159861163e-06,10.0,19549.039077758785,19.549039077758785,1456457.51953125,700065.6127929689,756391.9067382811,2.4468658661842344,305.32525296972256,493.82611347759064,4555000.0,364.211,2.544690049407732e-06,281.07036837178657,5bc8b586deb2718e9dc43489e81e37e46cfb3eb36219c59dc0dd6de20034fe12
newdata2,fixed_data_ihx_35_R600a.pkl,35_R600a,ihx,R600a,0.09190290024800223,0.015152264504024881,2.5308992518535347,1.0332008689864932e-05,1.0,4768.826589584351,4.768826589584351,474152.83203125,140637.20703124994,333515.62500000006,6.179351053237915,302.70780291091285,545.0471965656811,3629000.0,407.817,2.544690049407732e-06,98.28483054915851,0beb22b1102afc3d143e094541d7cd2ee6a84a0f78444cd518b0a2e3dfab6a0b
newdata2,fixed_data_ihx_35_R600a.pkl,35_R600a,ihx,R600a,0.0781543486766757,0.015176306092018296,2.5046438272007654,1.0051175078195915e-05,1.0,6916.804480552673,6.916804480552673,483175.04882812494,199552.9174804688,283622.13134765613,6.189155621528625,303.3965909311834,544.1690779585876,3629000.0,407.817,2.544690049407732e-06,154.7100840720164,0beb22b1102afc3d143e094541d7cd2ee6a84a0f78444cd518b0a2e3dfab6a0b
newdata2,fixed_data_ihx_55_R600a.pkl,55_R600a,ihx,R600a,0.17463059686832633,0.015507932873469694,1.9312454946434325,4.815986337873499e-06,0.0,4570.326709747314,4.570326709747315,776298.828125,142564.39208984375,633734.4360351562,6.32439866065979,322.0049649168704,519.3346908208761,3629000.0,407.817,2.544690049407732e-06,70.00354560291478,84e8836229595849d84ce4476e250a70f2ecb1751bd2b028ed8ac2524a9eb3c5
newdata2,fixed_data_ihx_55_R600a.pkl,55_R600a,ihx,R600a,0.15868913572200502,0.014128963113690217,1.9296358080587088,4.803739337723039e-06,0.0,6694.232015609741,6.6942320156097415,777492.67578125,201609.8022460937,575882.8735351562,5.762031350135803,322.63193439733413,518.4231578362658,3629000.0,407.817,2.544690049407732e-06,107.65683132459246,84e8836229595849d84ce4476e250a70f2ecb1751bd2b028ed8ac2524a9eb3c5
Daten LOGIN,fixed_data_simple_35_R1234yf.pkl,35_R1234yf,simple,R1234yf,0.20716267174587724,0.01611815223522738,2.1228882924456407,3.01671881636487e-06,2.0367236137390123,14611.931228637697,14.611931228637697,906120.6054687499,205455.0170898439,700665.588378906,5.929062299728392,302.6840209355972,1076.1511266746618,3382200.0,367.85,2.544690049407732e-06,147.86510753678132,ef9f2deacaaa2014b45f866e9128a6afbace73db67c4cfff732f8b3bb0ea91bd
Daten LOGIN,fixed_data_simple_35_R1234yf.pkl,35_R1234yf,simple,R1234yf,0.19050622055471475,0.016375420303209914,2.1159195492338774,2.9832848321405057e-06,2.5305736064910893,19344.62417602539,19.34462417602539,911442.8710937499,267112.7319335937,644330.1391601562,6.023698358535767,302.8136799479829,1075.6852778176885,3382200.0,367.85,2.544690049407732e-06,204.1801750302126,ef9f2deacaaa2014b45f866e9128a6afbace73db67c4cfff732f8b3bb0ea91bd
Daten LOGIN,fixed_data_simple_35_R1234yf.pkl,35_R1234yf,simple,R1234yf,0.1651673009327786,0.016588326039741395,2.108017769899175,2.9456008742040344e-06,3.65461254119873,26643.447685241703,26.643447685241703,917535.400390625,358906.5551757813,558628.8452148438,6.102015733718872,302.9909203430931,1075.0380578627246,3382200.0,367.85,2.544690049407732e-06,302.11127566617233,ef9f2deacaaa2014b45f866e9128a6afbace73db67c4cfff732f8b3bb0ea91bd
Daten LOGIN,fixed_data_simple_35_R1234yf_R32_64_36.pkl,35_R1234yf_R32_64_36,simple,R1234yf_R32_64_36,0.2620457554286845,0.007298236943155122,1.1670019780991505,2.1191584122389347e-06,1.8799999952316286,16551.63047790527,16.55163047790527,1417121.58203125,292847.4426269532,1124274.1394042969,2.621705255508423,302.9274264658165,1025.2587509745683,4290373.4027863955,359.2244641998463,2.544690049407732e-06,135.4684118949349,4df3f819626f238fc391778b9d369db110f3e06be0042b605d867c2614dcd645
Daten LOGIN,fixed_data_simple_35_R1234yf_R32_64_36.pkl,35_R1234yf_R32_64_36,simple,R1234yf_R32_64_36,0.24644590841823447,0.008430086362589502,1.1676495016149113,2.0810904672044773e-06,2.3600773811340323,21583.49594116211,21.58349594116211,1430117.1875,372772.216796875,1057344.970703125,3.028293256759645,302.8912946564597,1025.549042507141,4290373.4027863955,359.2244641998463,2.544690049407732e-06,182.13161218697235,4df3f819626f238fc391778b9d369db110f3e06be0042b605d867c2614dcd645
Daten LOGIN,fixed_data_simple_35_R1234yf_R32_64_36.pkl,35_R1234yf_R32_64_36,simple,R1234yf_R32_64_36,0.2219637650801099,0.009893519484840121,1.1684687138618446,2.0237854995570436e-06,3.2261126041412376,29270.15544891357,29.27015544891357,1450249.0234375,497941.58935546875,952307.4340820312,3.553994235992432,302.93468083296864,1025.543098877064,4290373.4027863955,359.2244641998463,2.544690049407732e-06,260.2612995193644,4df3f819626f238fc391778b9d369db110f3e06be0042b605d867c2614dcd645
Daten LOGIN,fixed_data_simple_35_R1270.pkl,35_R1270,simple,R1270,0.2348199670584351,0.013218181679371098,1.7114874160154037,2.2057660749980984e-06,1.7159263074398046,10304.949026107783,10.304949026107783,1454908.447265625,385303.49731445324,1069604.9499511719,4.814207167625427,302.9124630400209,498.481349706568,4555000.0,364.211,2.544690049407732e-06,124.01088285531776,f503e801edc5c02881552a35a20b326517df0b0de1d114d1a8e2ddd2002aa734
Daten LOGIN,fixed_data_simple_35_R1270.pkl,35_R1270,simple,R1270,0.21856066371947033,0.015582416470459926,1.6916064256351264,2.117412380861739e-06,2.102161979675293,13370.993766784675,13.370993766784675,1486440.4296875,490896.6064453126,995543.8232421874,5.675287485122681,302.9696273209919,498.49281177753556,4555000.0,364.211,2.544690049407732e-06,166.78391182493414,f503e801edc5c02881552a35a20b326517df0b0de1d114d1a8e2ddd2002aa734
Daten LOGIN,fixed_data_simple_35_R1270.pkl,35_R1270,simple,R1270,0.18938190615137895,0.017311223522197078,1.6785544540175648,2.0601742096422455e-06,2.9674057960510276,17979.869117736824,17.979869117736826,1507768.5546875,645133.9721679689,862634.5825195311,6.30493803024292,302.95303148718517,498.6055748909922,4555000.0,364.211,2.544690049407732e-06,240.9043483936895,f503e801edc5c02881552a35a20b326517df0b0de1d114d1a8e2ddd2002aa734
newdata2,fixed_data_simple_35_R1270_2.pkl,35_R1270_2,simple,R1270,0.2322294568125686,0.009417322891570391,1.7199646050508228,2.243867176576973e-06,1.721318483352661,10323.098182678217,10.323098182678217,1441801.7578125,383996.5820312501,1057805.17578125,3.429892587661744,303.91081441353873,496.5177813162692,4555000.0,364.211,2.544690049407732e-06,125.16702260906747,599825fcdb80c712f4c0b0f71310567db4382a9d3a2c195374f6aaac9069a3c4
newdata2,fixed_data_simple_35_R1270_2.pkl,35_R1270_2,simple,R1270,0.21193610483414516,0.012417004877217279,1.7136519438141504,2.215470388388818e-06,2.160000085830689,13308.426666259757,13.308426666259757,1451542.96875,486174.01123046887,965368.9575195311,4.522409763336182,303.1053977798697,498.10066591856395,4555000.0,364.211,2.544690049407732e-06,168.64427415129606,599825fcdb80c712f4c0b0f71310567db4382a9d3a2c195374f6aaac9069a3c4
newdata2,fixed_data_simple_35_R1270_2.pkl,35_R1270_2,simple,R1270,0.18174654880025382,0.013342471527176946,1.7052715172186546,2.1779906477392076e-06,2.88191032409668,17779.480819702145,17.779480819702144,1464645.99609375,636790.4663085939,827855.5297851561,4.859474897384643,303.15230250992056,498.061403142269,4555000.0,364.211,2.544690049407732e-06,243.30468106929175,599825fcdb80c712f4c0b0f71310567db4382a9d3a2c195374f6aaac9069a3c4
newdata2,fixed_data_simple_35_R1270_3.pkl,35_R1270_3,simple,R1270,0.2333290945947105,0.00715404498280282,1.7185170265891758,2.237342915771685e-06,1.7302703857421886,10212.893123626713,10.212893123626714,1444025.87890625,381211.85302734387,1062814.0258789062,2.605581877231598,304.8008007554248,494.8012286424129,4555000.0,364.211,2.544690049407732e-06,123.75275455115619,2e8e69c7541a9af70b7e0e155e19ff7e083d969e8e638bd6a604209f67f5f776
newdata2,fixed_data_simple_35_R1270_3.pkl,35_R1270_3,simple,R1270,0.21368086612839596,0.013096942122512795,1.7096951020606983,2.197743119777666e-06,2.1301491260528578,13205.48561096191,13.20548561096191,1457705.078125,484388.73291015637,973316.3452148436,4.770050387382508,303.03864521161637,498.25161696047,4555000.0,364.211,2.544690049407732e-06,166.62997156125792,2e8e69c7541a9af70b7e0e155e19ff7e083d969e8e638bd6a604209f67f5f776
newdata2,fixed_data_simple_35_R1270_3.pkl,35_R1270_3,simple,R1270,0.18128546872856063,0.014060735424302579,1.7030813337039443,2.1682366624088375e-06,2.9164824485778804,17900.24055480957,17.90024055480957,1468103.02734375,642347.7172851564,825755.3100585936,5.121074509620667,302.9915885844721,498.3810418308026,4555000.0,364.211,2.544690049407732e-06,245.1898757553153,2e8e69c7541a9af70b7e0e155e19ff7e083d969e8e638bd6a604209f67f5f776
newdata2,fixed_data_simple_35_R1270_4.pkl,35_R1270_4,simple,R1270,0.23170023979915616,0.0068147419743491144,1.720948732117934,2.2483068972796937e-06,1.7263087034225477,10336.350364685048,10.336350364685048,1440292.96875,384898.3764648438,1055394.5922851562,2.4820039892196655,304.81410811368517,494.7603112745171,4555000.0,364.211,2.544690049407732e-06,125.69339974976057,1eeefe8f570324ab4bd110a250200c2069b60cfecfdea9e10e379a90944341ad
newdata2,fixed_data_simple_35_R1270_4.pkl,35_R1270_4,simple,R1270,0.2105546065664448,0.012130814575635048,1.7125596041350328,2.2105709786369718e-06,2.155776500701901,13528.906478881838,13.528906478881838,1453239.74609375,494163.51318359387,959076.2329101561,4.418176107406617,303.2594960602591,497.812798939072,4555000.0,364.211,2.544690049407732e-06,172.0494195322905,1eeefe8f570324ab4bd110a250200c2069b60cfecfdea9e10e379a90944341ad
