model,variant,formula_source,rank_in_source,expression_named,expression_complexity,evaluation_error,train_mse,seen_mse,unseen_mse,train_mard_pct,seen_mard_pct,unseen_mard_pct,train_cd_mse,seen_cd_mse,unseen_cd_mse,train_cd_mard_pct,seen_cd_mard_pct,unseen_cd_mard_pct
default_hof_4,default,hof,4,pi1 + log(pi5) - (2.7336*pi1**2 - 14.2094*pi1*pi2 - 11.4868*pi1*pi3 + 5251810.0*pi1*pi4 + 2.71461*pi1*pi5 + 8.99711*pi1 - 191.386*pi2**2 + 230.36*pi2*pi3 - 44131700.0*pi2*pi4 - 113.339*pi2*pi5 - 196.599*pi2 - 3.67879*pi3**2 + 964364.0*pi3*pi4 - 0.856156*pi3*pi5 + 11.5814*pi3 + 1129.46*pi4**2 + 439164.0*pi4*pi5 - 2666261.0*pi4 + 0.0615415*pi5**2 + 0.00901099999999999*pi5 - 7.7807 - exp(-pi2/pi3 + pi4 - pi5)/pi3)/pi2,65,,722068.1741911623,171319.3794832349,1630812.4240666735,5.270360490490052,3.100707493435441,6.561135679606806,125.97859482680734,24.517660114253424,155.02597476695925,5.270360490490054,3.100707493435442,6.561135679606806
default_hof_41,default,hof,41,pi3*(pi4 - pi5 + exp(log(0.0731279*pi1**2 + 4.11975*pi1*pi2 - 0.435406*pi1*pi3 + 168019.0*pi1*pi4 + 0.0800999*pi1*pi5 + 0.311961*pi1 - 52.4635*pi2**2 + 10.5091*pi2*pi3 - 1535620.0*pi2*pi4 - 3.79999*pi2*pi5 - 9.91161*pi2 - 0.138896*pi3**2 + 33856.3*pi3*pi4 - 0.0237578*pi3*pi5 + 0.43082*pi3 + 39.3021*pi4**2 + 12519.2*pi4*pi5 - 89121.7*pi4 + 0.000561298*pi5**2 + 0.0164159*pi5 + 0.731696)/(pi2*(-pi4 + pi4*exp(-pi3) - pi5 + log(pi1))))/pi2),69,,1057842.7248966058,392818.538946356,2194071.9886961463,6.303000641598327,4.616823392136945,6.719926112292453,184.74677697056214,66.95514939077246,202.5475816961159,6.303000641598327,4.616823392136947,6.719926112292461
default_pf_5,default,pf,5,(pi4 - 78.33500253620525)*log(exp(-pi5)) - 1,6,,12478964.484509757,2000102.0972970668,1555189.9142681637,12.138696739986019,10.525319999753293,6.891574700015207,2524.1340588220683,402.3888300545176,109.58477484556744,12.138696739986019,10.525319999753291,6.891574700015209
default_hof_3,default,hof,3,pi3*(-0.914968*pi1**2 - pi1*pi2*pi3*exp(pi2*log(-pi1 + exp(pi4)))/pi5 + 96.8016*pi1*pi2 + 7.90522*pi1*pi3 - 3025420.0*pi1*pi4 - 1.24632*pi1*pi5 - 9.30083*pi1 - 339.366*pi2**2 - 232.707*pi2*pi3 + 37859000.0*pi2*pi4 + 76.2719*pi2*pi5 + 228.141*pi2 + 3.05786*pi3**2 - 654546.0*pi3*pi4 + 0.115394*pi3*pi5 - 8.64012*pi3 - 962.365*pi4**2 - 243061.0*pi4*pi5 + 1543760.0*pi4 - 0.0187082*pi5**2 + 0.285211*pi5 + 6.29184)/pi2,67,,574906.2399176344,152579.2416797519,1966969.8332899841,5.117599428325295,2.925131205423358,7.089056920863265,102.46216882224742,23.024713411054623,175.71456109423823,5.117599428325298,2.925131205423359,7.089056920863268
default_hof_11,default,hof,11,pi1*(pi5 + exp(-pi1*log(pi3/pi5) + pi2) + log(pi2)) + (-2.9626*pi1**2 + 34.4295*pi1*pi2 + 13.2053*pi1*pi3 - 5664280.0*pi1*pi4 - 3.22106*pi1*pi5 - 10.3547*pi1 + 22.9535*pi2**2 - 259.311*pi2*pi3 + 49942600.0*pi2*pi4 + 119.83*pi2*pi5 + 222.531*pi2 + 4.18442*pi3**2 - 1086600.0*pi3*pi4 + 0.991863*pi3*pi5 - 13.4013*pi3 - 1278.53*pi4**2 - 491843.0*pi4*pi5 + 2986650.0*pi4 - 0.0486562*pi5**2 - 0.247746*pi5 + 9.48748)/pi2,66,,832034.6060216897,273817.9475225978,1970301.6883953346,5.997248701295767,4.154805797066049,7.145641886933153,147.60941199324165,48.120274731122215,180.02888092894602,5.997248701295769,4.154805797066052,7.14564188693316
default_hof_6,default,hof,6,(-2.66093*pi1**2 + 35.5621*pi1*pi2 + 13.093*pi1*pi3 - 5645580.0*pi1*pi4 - 3.19207*pi1*pi5 - 10.8495*pi1 + 24.7235*pi2**2 - 259.389*pi2*pi3 + 49990900.0*pi2*pi4 + 120.128*pi2*pi5 + 221.566*pi2 + 4.04043*pi3**2 - pi3**2*exp(-pi1)/(2*pi4 + exp(pi3)) - 1082520.0*pi3*pi4 + 0.992929*pi3*pi5 - 12.8195*pi3 - 1279.6*pi4**2 - 491690.0*pi4*pi5 + 2974300.0*pi4 - 0.048481*pi5**2 - 0.257781*pi5 + 9.47754)/pi2,64,,829089.5099755775,272181.0089488772,1975705.6986565911,5.992076625157612,4.144211378676201,7.150871482940374,147.10759630628488,47.78510368857954,180.64806027935055,5.992076625157612,4.144211378676204,7.150871482940374
default_hof_7,default,hof,7,-pi2 + pi3 + pi4*(pi1 + pi2/(pi1 - pi4 + exp(pi4))) + (-2.89699*pi1**2 + 35.2729*pi1*pi2 + 13.2266*pi1*pi3 - 5661040.0*pi1*pi4 - 3.19157*pi1*pi5 - 10.5145*pi1 + 25.6929*pi2**2 - 260.737*pi2*pi3 + 50042900.0*pi2*pi4 + 120.123*pi2*pi5 + 222.094*pi2 + 4.18905*pi3**2 - 1086400.0*pi3*pi4 + 0.99356*pi3*pi5 - 13.4213*pi3 - 1281.01*pi4**2 - 491773.0*pi4*pi5 + 2984230.0*pi4 - 0.048493*pi5**2 - 0.258581*pi5 + 9.53524)/pi2,65,,829292.0888068004,272588.02558214456,1974085.684560568,5.993516881322666,4.148341136484058,7.151845687096271,147.11672286086088,47.84485575329759,180.38701316673232,5.993516881322666,4.148341136484059,7.151845687096278
default_pf_10,default,pf,10,-pi2 + pi3 + pi4*(pi1 + pi2/(pi1 - pi4 + exp(pi4))) + (-2.89699*pi1**2 + 35.2729*pi1*pi2 + 13.2266*pi1*pi3 - 5661040.0*pi1*pi4 - 3.19157*pi1*pi5 - 10.5145*pi1 + 25.6929*pi2**2 - 260.737*pi2*pi3 + 50042900.0*pi2*pi4 + 120.123*pi2*pi5 + 222.094*pi2 + 4.18905*pi3**2 - 1086400.0*pi3*pi4 + 0.99356*pi3*pi5 - 13.4213*pi3 - 1281.01*pi4**2 - 491773.0*pi4*pi5 + 2984230.0*pi4 - 0.048493*pi5**2 - 0.258581*pi5 + 9.53524)/pi2,65,,829292.0888068004,272588.02558214456,1974085.684560568,5.993516881322666,4.148341136484058,7.151845687096271,147.11672286086088,47.84485575329759,180.38701316673232,5.993516881322666,4.148341136484059,7.151845687096278
default_hof_8,default,hof,8,(-2.89699*pi1**2 + 35.2729*pi1*pi2 + 13.2266*pi1*pi3 - 5661040.0*pi1*pi4 - 3.19157*pi1*pi5 - 10.5145*pi1 + 24.6929*pi2**2 - 259.737*pi2*pi3 + 50042900.0*pi2*pi4 + 120.123*pi2*pi5 + 222.094*pi2 + 4.18905*pi3**2 - 1086400.0*pi3*pi4 + 0.99356*pi3*pi5 - 13.4213*pi3 - 1281.01*pi4**2 - 491773.0*pi4*pi5 + 2984230.0*pi4 - 0.048493*pi5**2 - 0.258581*pi5 + 9.53524)/pi2,56,,829292.0866870374,272588.02484571177,1974085.742592276,5.993516838453648,4.1483410968722465,7.151845859430702,147.11672265564818,47.844855387298075,180.387021516154,5.993516838453647,4.14834109687225,7.151845859430709
default_pf_9,default,pf,9,(-2.89699*pi1**2 + 35.2729*pi1*pi2 + 13.2266*pi1*pi3 - 5661040.0*pi1*pi4 - 3.19157*pi1*pi5 - 10.5145*pi1 + 24.6929*pi2**2 - 259.737*pi2*pi3 + 50042900.0*pi2*pi4 + 120.123*pi2*pi5 + 222.094*pi2 + 4.18905*pi3**2 - 1086400.0*pi3*pi4 + 0.99356*pi3*pi5 - 13.4213*pi3 - 1281.01*pi4**2 - 491773.0*pi4*pi5 + 2984230.0*pi4 - 0.048493*pi5**2 - 0.258581*pi5 + 9.53524)/pi2,56,,829292.0866870374,272588.02484571177,1974085.742592276,5.993516838453648,4.1483410968722465,7.151845859430702,147.11672265564818,47.844855387298075,180.387021516154,5.993516838453647,4.14834109687225,7.151845859430709
