r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
8.508502244949340820e-01,8.508502244949340820e-01,3.069550991058349609e-01,8.188741207122802734e-01,1.619599914550781250e+01,1.631999969482421875e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.431348323822021484e+00,2.139139175415039062e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.824229598045349121e-01,1.476685523986816406e+00,5.000000000000000000e+02
8.582952618598937988e-01,8.582952618598937988e-01,3.190792798995971680e-01,8.186752200126647949e-01,1.639800071716308594e+01,1.596000003814697266e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.421960592269897461e+00,2.116214990615844727e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.824225425720214844e-01,8.443853855133056641e-01,1.000000000000000000e+03
8.582952618598937988e-01,8.435810208320617676e-01,3.111484348773956299e-01,8.139368891716003418e-01,1.639800071716308594e+01,1.652000045776367188e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.420599937438964844e+00,2.140458106994628906e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.631037831306457520e-01,8.525881767272949219e-01,1.500000000000000000e+03
8.643190264701843262e-01,8.643190264701843262e-01,3.170260787010192871e-01,8.163841962814331055e-01,1.639599990844726562e+01,1.655999946594238281e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.426742315292358398e+00,2.160222530364990234e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.820547819137573242e-01,7.302024364471435547e-01,2.000000000000000000e+03
8.643190264701843262e-01,8.379715085029602051e-01,3.243653476238250732e-01,8.211709856986999512e-01,1.614999961853027344e+01,1.687999916076660156e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.437755346298217773e+00,2.122665405273437500e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.008812069892883301e-01,7.503206729888916016e-01,2.500000000000000000e+03
8.643190264701843262e-01,8.376044034957885742e-01,3.256581127643585205e-01,8.099052906036376953e-01,1.623800086975097656e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.420643091201782227e+00,2.153465270996093750e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.825448513031005859e-01,7.658610343933105469e-01,3.000000000000000000e+03
8.643190264701843262e-01,8.583014011383056641e-01,3.111670911312103271e-01,8.233031630516052246e-01,1.661599922180175781e+01,1.644000053405761719e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.426860094070434570e+00,2.135679006576538086e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.985684275627136230e-01,8.317251205444335938e-01,3.500000000000000000e+03
8.643190264701843262e-01,8.394586443901062012e-01,3.016675710678100586e-01,8.156539201736450195e-01,1.617600059509277344e+01,1.584000015258789062e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.426449775695800781e+00,2.134205818176269531e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.805991172790527344e-01,7.194507122039794922e-01,4.000000000000000000e+03
8.643190264701843262e-01,8.549859523773193359e-01,3.188534379005432129e-01,8.210615515708923340e-01,1.639399909973144531e+01,1.695999908447265625e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.429463148117065430e+00,2.117694616317749023e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.997720837593078613e-01,1.765895128250122070e+00,4.500000000000000000e+03
8.736379742622375488e-01,8.736379742622375488e-01,3.269017338752746582e-01,8.251893520355224609e-01,1.627199935913085938e+01,1.503999996185302734e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.432937383651733398e+00,2.144292354583740234e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.019927144050598145e-01,1.848902940750122070e+00,5.000000000000000000e+03
