complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.6114716628889727,1,0,70.3310926109417*x2 + 70.3310926109417*x5,"mul,add,x2,x5,70.3310926109417",0.403731585739628,0.403731585739628,False
9,0.6122607202678533,1,0,214.78460996105864*x4 + 214.78460996105864*log(x5),"mul,214.78460996105864,add,log,x5,x4",0.4010576477633903,0.4010576477633903,False
19,0.6533459499698235,1,0,162.41332747372178*x1 + x2 + exp(x3) + 162.41332747372178*log(x4 + x5),"sub,add,exp,x3,x2,mul,-162.41332747372178,add,x1,log,add,x4,x5",0.28151798832011404,0.28151798832011404,False
21,0.6827717074408659,1,0,35.4414994025027*x3*exp(exp(x4))*log(x5) + 35.4414994025027*x3,"mul,35.4414994025027,add,mul,mul,x3,exp,exp,x4,log,x5,x3",0.2158702498374322,0.2158702498374322,False
24,0.685198791347006,1,0,(x4 - 78.33500253620525)*log(exp(-x5)) - 1,"sub,mul,sub,x4,78.33500253620525,log,div,div,x3,x3,exp,x5,div,x3,x3",0.211076364677752,0.211076364677752,False
25,0.7048415914540105,1,0,146.98593577117845*exp(0.090176796059666901*x3) + 146.98593577117845*log(x4) + 146.98593577117845*log(-0.4860851853976719*x5),"mul,146.98593577117845,add,log,div,x5,-2.057252576381007,add,exp,div,x3,11.089327229349934,log,x4",0.17535868247613876,0.17535868247613876,False
26,0.7117891426022163,1,0,-(log(x1*(x2 + exp(x4/x2))) - 151.49229018515476)*log(x5) + 60.12511836971594,"sub,60.12511836971594,mul,log,x5,add,log,mul,add,x2,exp,div,x4,x2,x1,-151.49229018515476",0.16395246724198195,0.16395246724198195,False
27,0.8313459500051532,1,0,219.269*x1**2 + 17865.6*x1*x2 + 1449.74*x1*x3 - 445666000.0*x1*x4 - 291.829*x1*x5 - 1876.02*x1 - 6262.95*x2**2 - 22890.1*x2*x3 + 4956460000.0*x2*x4 + 4553.25*x2*x5 + 13528.7*x2 + 368.92*x3**2 - 83657200.0*x3*x4 + 79.1561*x3*x5 - 1259.29*x3 - 126003.0*x4**2 - 38890800.0*x4*x5 + 216630000.0*x4 - 6.41115*x5**2 + 55.3141*x5 + exp(x2) + 1105.55,"sub,exp,x2,-1105.55-55.3141*x5-2.1663e+08*x4+1259.29*x3-13528.7*x2+1876.02*x1+6.41115*x5**2+3.88908e+07*x4*x5+1.26003e+05*x4**2-79.1561*x3*x5+8.36572e+07*x3*x4-368.92*x3**2-4553.25*x2*x5-4.95646e+09*x2*x4+22890.1*x2*x3+6262.95*x2**2+291.829*x1*x5+4.45666e+08*x1*x4-1449.74*x1*x3-17865.6*x1*x2-219.269*x1**2",0.0411556986377242,0.0411556986377242,False
28,0.858301408289336,1,0,(-2.89699*x1**2 + 35.2729*x1*x2 + 13.2266*x1*x3 - 5661040.0*x1*x4 - 3.19157*x1*x5 - 10.5145*x1 + 24.6929*x2**2 - 259.737*x2*x3 + 50042900.0*x2*x4 + 120.123*x2*x5 + 222.094*x2 + 4.18905*x3**2 - 1086400.0*x3*x4 + 0.99356*x3*x5 - 13.4213*x3 - 1281.01*x4**2 - 491773.0*x4*x5 + 2984230.0*x4 - 0.048493*x5**2 - 0.258581*x5 + 9.53524)/x2,"div,sub,sub,x3,-9.53524-0.741419*x5-2.98423e+06*x4+14.4213*x3-222.094*x2+10.5145*x1+0.048493*x5**2+4.91773e+05*x4*x5+1281.01*x4**2-0.99356*x3*x5+1.0864e+06*x3*x4-4.18905*x3**2-120.123*x2*x5-5.00429e+07*x2*x4+259.737*x2*x3-24.6929*x2**2+3.19157*x1*x5+5.66104e+06*x1*x4-13.2266*x1*x3-35.2729*x1*x2+2.89699*x1**2,x5,x2",0.02725532830702832,0.02725532830702832,False
45,0.8583014083857768,1,0,-x2 + x3 + x4*(x1 + x2/(x1 - x4 + exp(x4))) + (-2.89699*x1**2 + 35.2729*x1*x2 + 13.2266*x1*x3 - 5661040.0*x1*x4 - 3.19157*x1*x5 - 10.5145*x1 + 25.6929*x2**2 - 260.737*x2*x3 + 50042900.0*x2*x4 + 120.123*x2*x5 + 222.094*x2 + 4.18905*x3**2 - 1086400.0*x3*x4 + 0.99356*x3*x5 - 13.4213*x3 - 1281.01*x4**2 - 491773.0*x4*x5 + 2984230.0*x4 - 0.048493*x5**2 - 0.258581*x5 + 9.53524)/x2,"add,add,div,9.53524-0.258581*x5+2.98423e+06*x4-13.4213*x3+222.094*x2-10.5145*x1-0.048493*x5**2-4.91773e+05*x4*x5-1281.01*x4**2+0.99356*x3*x5-1.0864e+06*x3*x4+4.18905*x3**2+120.123*x2*x5+5.00429e+07*x2*x4-260.737*x2*x3+25.6929*x2**2-3.19157*x1*x5-5.66104e+06*x1*x4+13.2266*x1*x3+35.2729*x1*x2-2.89699*x1**2,x2,x3,sub,mul,add,div,x2,add,sub,exp,x4,x4,x1,x1,x4,x2",0.02725532826380313,0.02725532826380313,False
46,0.8587010292342964,1,0,(-2.28838*x1**2 + 42.9771*x1*x2 + 17.1986*x1*x3 - 5452640.0*x1*x4 - 3.24485*x1*x5 - x1*exp(x3) - 12.417*x1 - 23.7838*x2**2 - 261.377*x2*x3 + 50450300.0*x2*x4 + 120.256*x2*x5 + 223.341*x2 + 4.72897*x3**2 - 1111170.0*x3*x4 + 0.967425*x3*x5 - 14.778*x3 - 1291.98*x4**2 - 491187.0*x4*x5 + 2980120.0*x4 - 0.0485826*x5**2 - 0.206046*x5 + 10.3861)/x2,"div,sub,10.3861-0.206046*x5+2.98012e+06*x4-14.778*x3+223.341*x2-12.417*x1-0.0485826*x5**2-4.91187e+05*x4*x5-1291.98*x4**2+0.967425*x3*x5-1.11117e+06*x3*x4+4.72897*x3**2+120.256*x2*x5+5.04503e+07*x2*x4-261.377*x2*x3-23.7838*x2**2-3.24485*x1*x5-5.45264e+06*x1*x4+17.1986*x1*x3+42.9771*x1*x2-2.28838*x1**2,mul,exp,add,mul,log,add,x3,mul,x2,x3,sub,x2,x2,x3,x1,x2",0.02707659381146722,0.02707659381146722,False
49,0.8740874331070196,1,0,x3*(x3 + log(log(log(x2/log(x4)))) - (0.876791*x1**2 - 94.9394*x1*x2 - 7.85057*x1*x3 + 3010170.0*x1*x4 + 1.22522*x1*x5 + 9.28193*x1 + 333.2*x2**2 + 232.955*x2*x3 - 37664000.0*x2*x4 - 76.2033*x2*x5 - 227.425*x2 - 3.04284*x3**2 + 649919.0*x3*x4 - 0.112117*x3*x5 + 8.59061*x3 + 957.343*x4**2 + 241084.0*x4*x5 - 1531350.0*x4 + 0.0188369*x5**2 - 0.284983*x5 - 6.26416)/x2),"mul,add,sub,log,log,log,div,x2,log,x4,div,-6.26416-0.284983*x5-1.53135e+06*x4+8.59061*x3-227.425*x2+9.28193*x1+0.0188369*x5**2+2.41084e+05*x4*x5+957.343*x4**2-0.112117*x3*x5+6.49919e+05*x3*x4-3.04284*x3**2-76.2033*x2*x5-3.7664e+07*x2*x4+232.955*x2*x3+333.2*x2**2+1.22522*x1*x5+3.01017e+06*x1*x4-7.85057*x1*x3-94.9394*x1*x2+0.876791*x1**2,x2,x3,x3",0.020750492202270574,0.020750492202270574,False
