r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
4.373607337474822998e-01,4.373607337474822998e-01,2.969062328338623047e-01,3.677693307399749756e-01,1.129199981689453125e+01,1.243999958038330078e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.084384679794311523e+00,1.882067561149597168e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.232029974460601807e-01,2.329509258270263672e-01,5.000000000000000000e+02
4.376833140850067139e-01,4.376833140850067139e-01,2.988092303276062012e-01,3.696720600128173828e-01,1.158399963378906250e+01,1.147999954223632812e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.081337690353393555e+00,1.914592266082763672e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.165992498397827148e-01,5.380797386169433594e-02,1.000000000000000000e+03
4.376833140850067139e-01,4.253500699996948242e-01,2.979775667190551758e-01,3.539482355117797852e-01,1.180000019073486328e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.077292919158935547e+00,1.893589854240417480e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.213634788990020752e-01,5.391788482666015625e-02,1.500000000000000000e+03
4.400794804096221924e-01,4.400794804096221924e-01,2.986300885677337646e-01,3.664498925209045410e-01,1.132400035858154297e+01,1.068000030517578125e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.083850383758544922e+00,1.920755505561828613e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.202407956123352051e-01,5.130290985107421875e-02,2.000000000000000000e+03
4.400794804096221924e-01,4.289796948432922363e-01,2.972829043865203857e-01,3.639747500419616699e-01,1.142399978637695312e+01,1.196000003814697266e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.081018209457397461e+00,1.879951834678649902e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.155977725982666016e-01,5.100822448730468750e-02,2.500000000000000000e+03
4.400794804096221924e-01,4.292992949485778809e-01,2.990809679031372070e-01,3.628429472446441650e-01,1.171199989318847656e+01,1.211999988555908203e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.078706741333007812e+00,1.860501170158386230e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.150368034839630127e-01,5.482578277587890625e-02,3.000000000000000000e+03
4.400794804096221924e-01,4.303545653820037842e-01,2.965170443058013916e-01,3.535274565219879150e-01,1.152400016784667969e+01,1.252000045776367188e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.082473754882812500e+00,1.912406206130981445e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.140558898448944092e-01,5.670595169067382812e-02,3.500000000000000000e+03
4.400794804096221924e-01,4.343411028385162354e-01,2.972606718540191650e-01,3.569002449512481689e-01,1.173999977111816406e+01,1.139999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.075245141983032227e+00,1.891203641891479492e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.161960244178771973e-01,5.330991744995117188e-02,4.000000000000000000e+03
4.400794804096221924e-01,4.327139258384704590e-01,2.989948093891143799e-01,3.654495775699615479e-01,1.166399955749511719e+01,1.100000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.980000000000000000e+02,2.500000000000000000e+01,2.079643964767456055e+00,1.887228012084960938e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.186851143836975098e-01,5.533623695373535156e-02,4.500000000000000000e+03
4.400794804096221924e-01,4.303690791130065918e-01,2.980307638645172119e-01,3.612140119075775146e-01,1.168799972534179688e+01,1.203999996185302734e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.080384254455566406e+00,1.870120882987976074e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.145149350166320801e-01,5.666232109069824219e-02,5.000000000000000000e+03
4.400794804096221924e-01,4.325888156890869141e-01,3.019226789474487305e-01,3.737778067588806152e-01,1.167599964141845703e+01,1.196000003814697266e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.077847957611083984e+00,1.890289783477783203e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.236339986324310303e-01,5.285429954528808594e-02,5.500000000000000000e+03
4.400794804096221924e-01,4.331943988800048828e-01,2.995629012584686279e-01,3.721406459808349609e-01,1.167599964141845703e+01,1.107999992370605469e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.076002836227416992e+00,1.908566832542419434e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.205826878547668457e-01,5.330610275268554688e-02,6.000000000000000000e+03
4.400794804096221924e-01,4.361085891723632812e-01,2.964197993278503418e-01,3.454565703868865967e-01,1.183199977874755859e+01,1.203999996185302734e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.074535608291625977e+00,1.908842444419860840e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.128960132598876953e-01,5.535340309143066406e-02,6.500000000000000000e+03
4.400794804096221924e-01,4.373607933521270752e-01,2.938230633735656738e-01,3.598040342330932617e-01,1.157999992370605469e+01,1.131999969482421875e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.980000000000000000e+02,2.500000000000000000e+01,2.083223819732666016e+00,1.914303421974182129e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.110022246837615967e-01,5.622005462646484375e-02,7.000000000000000000e+03
4.400794804096221924e-01,4.327339529991149902e-01,2.947019636631011963e-01,3.570369780063629150e-01,1.153600025177001953e+01,1.203999996185302734e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.086825847625732422e+00,1.889242053031921387e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.108090758323669434e-01,5.388712882995605469e-02,7.500000000000000000e+03
4.400794804096221924e-01,4.366155266761779785e-01,2.992787063121795654e-01,3.644145131111145020e-01,1.141199970245361328e+01,1.147999954223632812e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.082798480987548828e+00,1.916524767875671387e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.119174838066101074e-01,5.334830284118652344e-02,8.000000000000000000e+03
4.400794804096221924e-01,4.344541132450103760e-01,2.991532087326049805e-01,3.635948896408081055e-01,1.176000022888183594e+01,1.100000000000000000e+01,-1.000000000000000000e+00,4.990000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.076550722122192383e+00,1.963928699493408203e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.231274187564849854e-01,5.852746963500976562e-02,8.500000000000000000e+03
4.400794804096221924e-01,4.309659600257873535e-01,2.986786961555480957e-01,3.513321876525878906e-01,1.151599979400634766e+01,1.115999984741210938e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.077261209487915039e+00,1.901472926139831543e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.154674172401428223e-01,6.054973602294921875e-02,9.000000000000000000e+03
4.400794804096221924e-01,4.340667426586151123e-01,2.945206165313720703e-01,3.449999690055847168e-01,1.151599979400634766e+01,1.107999992370605469e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.980000000000000000e+02,2.500000000000000000e+01,2.084577322006225586e+00,1.933484435081481934e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.100365996360778809e-01,5.680298805236816406e-02,9.500000000000000000e+03
