r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,expression_named,expression_pretty,m_flow_formula
0.4400794727349612,1,0,x5*(x2*x5 + x3/x5)/x2,"mul,div,x5,x2,add,div,x3,x5,mul,x5,x2",1.61879015965423,1.61879015965423,False,pi5*(pi2*pi5 + pi3/pi5)/pi2,"    /          pi3\
pi5*|pi2*pi5 + ---|
    \          pi5/
-------------------
        pi2        ",Aref_m2 * (pi5*(pi2*pi5 + pi3/pi5)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.437683318818663,1,0,x1 - x2 + x3 + (x1 + x3)/x2,"add,sub,x3,x2,add,x1,div,add,x1,x3,x2",1.6506003937441,1.6506003937441,False,pi1 - pi2 + pi3 + (pi1 + pi3)/pi2,"                  pi1 + pi3
pi1 - pi2 + pi3 + ---------
                     pi2   ",Aref_m2 * (pi1 - pi2 + pi3 + (pi1 + pi3)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4373608056673964,1,0,(x1 + x2 + x3 - x4)/x2,"div,add,sub,x2,x4,add,x3,x1,x2",1.654932341484428,1.654932341484428,False,(pi1 + pi2 + pi3 - pi4)/pi2,"pi1 + pi2 + pi3 - pi4
---------------------
         pi2         ",Aref_m2 * ((pi1 + pi2 + pi3 - pi4)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4373607245599363,1,0,(x1 + x2 + x3)/x2,"mul,sub,x4,sub,x4,div,div,add,add,x2,x3,x1,x1,x2,x1",1.654933432425644,1.654933432425644,False,(pi1 + pi2 + pi3)/pi2,"pi1 + pi2 + pi3
---------------
      pi2      ",Aref_m2 * ((pi1 + pi2 + pi3)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4366155405705543,1,0,(-x3 + x5 + (-x2 + x3 + 1)/x2)/x3,"div,add,sub,div,sub,add,div,x5,x5,x3,x2,x2,x3,x5,x3",1.664988917093594,1.664988917093594,False,(-pi3 + pi5 + (-pi2 + pi3 + 1)/pi2)/pi3,"             -pi2 + pi3 + 1
-pi3 + pi5 + --------------
                  pi2      
---------------------------
            pi3            ",Aref_m2 * ((-pi3 + pi5 + (-pi2 + pi3 + 1)/pi2)/pi3) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4363093445086197,1,0,(x1 - x2 + x3 + x4)/x2,"div,add,sub,x3,sub,x2,x4,x1,x2",1.6691395275306766,1.6691395275306766,False,(pi1 - pi2 + pi3 + pi4)/pi2,"pi1 - pi2 + pi3 + pi4
---------------------
         pi2         ",Aref_m2 * ((pi1 - pi2 + pi3 + pi4)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4361085834224854,1,0,x1 + x3 + x5 + (2*x2 + x3)/x2,"add,add,x3,x1,add,div,add,x2,add,x2,x3,x2,x5",1.671866897189004,1.671866897189004,False,pi1 + pi3 + pi5 + (2*pi2 + pi3)/pi2,"                  2*pi2 + pi3
pi1 + pi3 + pi5 + -----------
                      pi2    ",Aref_m2 * (pi1 + pi3 + pi5 + (2*pi2 + pi3)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4344541040720764,1,0,(x1*x3 + x3)/x2,"div,add,x3,mul,x3,x1,x2",1.6945246934685814,1.6945246934685814,False,(pi1*pi3 + pi3)/pi2,"pi1*pi3 + pi3
-------------
     pi2     ",Aref_m2 * ((pi1*pi3 + pi3)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4343411018099281,1,0,(x1*(x1 + x3 + x4/x5)/x2 + x2)/x1,"div,add,mul,add,add,x1,div,x4,x5,x3,div,x1,x2,x2,x1",1.6960841243654634,1.6960841243654634,False,(pi1*(pi1 + pi3 + pi4/pi5)/pi2 + pi2)/pi1,"    /            pi4\      
pi1*|pi1 + pi3 + ---|      
    \            pi5/      
--------------------- + pi2
         pi2               
---------------------------
            pi1            ",Aref_m2 * ((pi1*(pi1 + pi3 + pi4/pi5)/pi2 + pi2)/pi1) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.434066748530128,1,0,x2 + x5 + (x2*x3 + x3)/x2,"add,div,add,x3,mul,x3,x2,x2,add,x5,x2",1.6998765665340414,1.6998765665340414,False,pi2 + pi5 + (pi2*pi3 + pi3)/pi2,"            pi2*pi3 + pi3
pi2 + pi5 + -------------
                 pi2     ",Aref_m2 * (pi2 + pi5 + (pi2*pi3 + pi3)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
