model,variant,formula_source,rank_in_source,expression_named,expression_complexity,evaluation_error,train_mse,test_mse,train_mard_pct,test_mard_pct,train_cd_mse,test_cd_mse,train_cd_mard_pct,test_cd_mard_pct
default_hof_1,default,hof,1,(-0.0100652*pi1**2 - 0.2849*pi1*pi2 - 0.245452*pi1*pi3 + 55403.3*pi1*pi4 - 0.0069989*pi1*pi5 + 0.303953*pi1 - 1.42798*pi2**2 - 1.72636*pi2*pi3 + 360813.0*pi2*pi4 - 0.00379307*pi2*pi5 + 2.26432*pi2 + 9.60563*pi3**2 - 302115.0*pi3*pi4 - 0.00189212*pi3*pi5 - 12.2996*pi3 - 165.124*pi4**2 - 551.229*pi4*pi5 - 3646460.0*pi4 - 0.000407903*pi5**2 + 0.0112442*pi5 + 2.73669)*exp(pi1 + pi3)*exp(-pi4 + exp(pi2*(pi5 + exp(pi2)) + pi4*exp(-pi5))),68,,0.030189890541112003,0.059735017533376955,1.3326952393074172,1.8689773765417532,4.011840213205441e-06,1.0731499524394807e-05,1.3326952393074158,1.868977376541743
default_pf_8,default,pf,8,(-0.0100652*pi1**2 - 0.2849*pi1*pi2 - 0.245452*pi1*pi3 + 55403.3*pi1*pi4 - 0.0069989*pi1*pi5 + 0.303953*pi1 - 1.42798*pi2**2 - 1.72636*pi2*pi3 + 360813.0*pi2*pi4 - 0.00379307*pi2*pi5 + 2.26432*pi2 + 9.60563*pi3**2 - 302115.0*pi3*pi4 - 0.00189212*pi3*pi5 - 12.2996*pi3 - 165.124*pi4**2 - 551.229*pi4*pi5 - 3646460.0*pi4 - 0.000407903*pi5**2 + 0.0112442*pi5 + 2.73669)*exp(pi1 + pi3)*exp(-pi4 + exp(pi2*(pi5 + exp(pi2)) + pi4*exp(-pi5))),68,,0.030189890541112003,0.059735017533376955,1.3326952393074172,1.8689773765417532,4.011840213205441e-06,1.0731499524394807e-05,1.3326952393074158,1.868977376541743
default_hof_18,default,hof,18,log(pi1 - pi4 + exp(pi2 + pi3*(-6.8134*pi1**2 - 6.87611*pi1*pi2 - 19.6143*pi1*pi3 + 4089100.0*pi1*pi4 - 0.0111173*pi1*pi5 + 29.1474*pi1 - 25.4519*pi2**2 - 34.5124*pi2*pi3 + 7252730.0*pi2*pi4 + 0.410471*pi2*pi5 + 44.083*pi2 + 303.047*pi3**2 - 8472489.0*pi3*pi4 - 0.316042*pi3*pi5 - 376.546*pi3 - 5398.38*pi4**2 + 56650.9*pi4*pi5 - 119610001.0*pi4 - 0.00259407*pi5**2 + 0.456583*pi5 + 71.4774))/pi1),62,,0.030620516068461973,0.06292340744273119,1.4374345924795089,1.8888591724137866,4.173921126349215e-06,1.1223736070775668e-05,1.4374345924795118,1.8888591724137767
default_hof_100,default,hof,100,pi1*(pi1 + pi3) - log(7.26375*pi1**2 + 9.04492*pi1*pi2 + 13.8076*pi1*pi3 - 2205140.0*pi1*pi4 - 0.117994*pi1*pi5 - 18.5952*pi1 + 53.5663*pi2**2 + 59.5743*pi2*pi3 - 12448400.0*pi2*pi4 - 0.966479*pi2*pi5 - 77.2314*pi2 - 306.203*pi3**2 + 8887400.0*pi3*pi4 + 0.0516372*pi3*pi5 + 385.119*pi3 + 5386.41*pi4**2 - 13904.8*pi4*pi5 + 119223000.0*pi4 + 0.00860223*pi5**2 - 0.122003*pi5 - 78.2826),59,,0.03323147848690356,0.05750690962293824,1.4558823620502224,1.9099772719202004,4.507963569601016e-06,1.0283243718509285e-05,1.45588236205023,1.909977271920217
default_hof_39,default,hof,39,(pi3 + pi4)*(-pi3*exp(pi2) + pi3/(0.405948*pi1**2 + 3.85144*pi1*pi2 + 2.75713*pi1*pi3 - 562754.0*pi1*pi4 + 0.0229629*pi1*pi5 - 3.73212*pi1 + 12.6138*pi2**2 + 14.9522*pi2*pi3 - 3005400.0*pi2*pi4 - 0.119706*pi2*pi5 - 21.0408*pi2 - 62.2425*pi3**2 + 1902640.0*pi3*pi4 + 0.0718709*pi3*pi5 + 78.6161*pi3 + 1084.1*pi4**2 - 8574.36*pi4*pi5 + 23962900.0*pi4 + 0.0015207*pi5**2 - 0.130849*pi5 - 15.4164)),61,,0.030900159183926565,0.06293751832606333,1.3540619193245191,1.910134094309135,4.133184071644876e-06,1.1212605722685982e-05,1.3540619193245176,1.9101340943091318
default_hof_49,default,hof,49,(pi1 - log(pi3) - log(1.60314*pi1**2 + 7.24352*pi1*pi2 + 4.37418*pi1*pi3 - 888068.0*pi1*pi4 - 0.00850452*pi1*pi5 - 5.63235*pi1 + 27.1049*pi2**2 + 33.6998*pi2*pi3 - 6908520.0*pi2*pi4 - 0.396466*pi2*pi5 - 44.3876*pi2 - 157.694*pi3**2 + 4538750.0*pi3*pi4 + 0.138264*pi3*pi5 + 197.045*pi3 + 2786.61*pi4**2 - 22278.3*pi4*pi5 + 61695600.0*pi4 + 0.00390701*pi5**2 - 0.226556*pi5 - 38.5717))*exp(pi2),61,,0.03409398891843097,0.05902350376458973,1.4783653024174808,1.9433703230274955,4.680448450043479e-06,1.0293965649118803e-05,1.4783653024174916,1.9433703230275206
default_hof_34,default,hof,34,(0.804891*pi1**2 + 6.57744*pi1*pi2 + 8.90838*pi1*pi3 - 1888920.0*pi1*pi4 - 0.2865*pi1*pi5 - 11.2999*pi1 + 46.9335*pi2**2 + 52.6652*pi2*pi3 - 11169200.0*pi2*pi4 - 0.884446*pi2*pi5 - 67.5428*pi2 - 354.23*pi3**2 + 10201900.0*pi3*pi4 - 0.0521514*pi3*pi5 + 448.221*pi3 + 6217.07*pi4**2 + 1343.0*pi4*pi5 + 137625000.0*pi4 + 0.00350953*pi5**2 + 0.0975211*pi5 + exp(pi4) - 96.4939)*log(pi1*pi3*exp(pi4)),62,,0.04120076912484195,0.057532605351481775,1.631568283314961,1.9917382726305863,6.069382880575521e-06,1.0173693259587045e-05,1.631568283314971,1.9917382726306085
default_hof_10,default,hof,10,5.77197*pi1**2 - 3.2029*pi1*pi2 - 15.1968*pi1*pi3 + 3559000.0*pi1*pi4 - 0.112296*pi1*pi5 + 19.4958*pi1 - 33.5364*pi2**2 - 34.6251*pi2*pi3 + 7343230.0*pi2*pi4 + 0.758437*pi2*pi5 + 43.9098*pi2 + 326.885*pi3**2 - 9242890.0*pi3*pi4 - 0.125514*pi3*pi5 - 411.301*pi3 - 5776.62*pi4**2 + 23647.2*pi4*pi5 - 127941000.0*pi4 - 0.0034953*pi5**2 + 0.239362*pi5 - exp(exp(pi1)) + 88.5511,58,,0.04084718722234365,0.058283698375940954,1.5893255532200328,1.9963648587141256,5.9304386654848755e-06,9.974350204469183e-06,1.5893255532200439,1.99636485871413
default_hof_14,default,hof,14,(1.3673*pi1**2 + 5.24282*pi1*pi2 + 8.87958*pi1*pi3 - 1776130.0*pi1*pi4 - 0.11239*pi1*pi5 - 11.7207*pi1 + 30.916*pi2**2 + 37.894*pi2*pi3 - 8049320.0*pi2*pi4 - 0.607602*pi2*pi5 - 48.4581*pi2 - 215.394*pi3**2 + 6018240.0*pi3*pi4 + 0.170324*pi3*pi5 + 269.499*pi3 + 3823.8*pi4**2 - 37516.5*pi4*pi5 - pi4*(pi3 + (-pi1 + pi2)*(pi3 + pi5)) + 84718400.0*pi4 + 0.00235925*pi5**2 - 0.209553*pi5 - 54.5002)*log(pi1),63,,0.03181334480015159,0.05889390918538429,1.4409308655426916,2.0095801623011043,4.402524401724656e-06,1.0327352579977382e-05,1.4409308655427002,2.0095801623010927
default_hof_74,default,hof,74,log(pi3*(pi2 + pi4/pi5)*exp(2*pi1 + 2607205307039.84*exp(-1.22889*pi1**2 - 16.1336*pi1*pi2 - 4.26606*pi1*pi3 + 743670.0*pi1*pi4 + 0.0111692*pi1*pi5 + 5.83002*pi1 + 0.895702*pi2**2 - 28.6175*pi2*pi3 + 4885560.0*pi2*pi4 + 0.817453*pi2*pi5 + 29.9818*pi2 + 104.369*pi3**2 - 3091340.0*pi3*pi4 + 0.0225585*pi3*pi5 - 131.522*pi3 - 1828.47*pi4**2 - 1586.63*pi4*pi5 - 40450100.0*pi4 - 0.0027544*pi5**2 - 0.0302187*pi5))),64,,0.03439356358649444,0.061352119057921595,1.4554267326823425,2.0199070501765446,4.689387400996906e-06,1.0567397181528967e-05,1.4554267326823533,2.019907050176537
