r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
9.742297530174255371e-01,9.742297530174255371e-01,2.599926292896270752e-01,9.733198881149291992e-01,1.627799987792968750e+01,1.547999954223632812e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.434445142745971680e+00,2.163242816925048828e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.690871238708496094e-01,1.533468246459960938e+00,5.000000000000000000e+02
9.742892980575561523e-01,9.742892980575561523e-01,2.752751410007476807e-01,9.734919667243957520e-01,1.628800010681152344e+01,1.496000003814697266e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.430832862854003906e+00,2.135854959487915039e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.721559882164001465e-01,8.336505889892578125e-01,1.000000000000000000e+03
9.742892980575561523e-01,9.742681384086608887e-01,2.653794884681701660e-01,9.723758697509765625e-01,1.604800033569335938e+01,1.731999969482421875e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.432845115661621094e+00,2.104891300201416016e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.644881486892700195e-01,8.217070102691650391e-01,1.500000000000000000e+03
9.744429588317871094e-01,9.744429588317871094e-01,2.721938192844390869e-01,9.738047122955322266e-01,1.650399971008300781e+01,1.472000026702880859e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.434408664703369141e+00,2.157319068908691406e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.726396799087524414e-01,7.599852085113525391e-01,2.000000000000000000e+03
9.744429588317871094e-01,9.742128849029541016e-01,2.649134993553161621e-01,9.737339019775390625e-01,1.675399971008300781e+01,1.663999938964843750e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.419310092926025391e+00,2.157704830169677734e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.729052782058715820e-01,1.329337596893310547e+00,2.500000000000000000e+03
9.744429588317871094e-01,9.743658900260925293e-01,2.695809006690979004e-01,9.729979634284973145e-01,1.613400077819824219e+01,1.644000053405761719e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.438074827194213867e+00,2.137113332748413086e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.705793261528015137e-01,1.225111722946166992e+00,3.000000000000000000e+03
9.746826887130737305e-01,9.746826887130737305e-01,2.476057410240173340e-01,9.724279642105102539e-01,1.648999977111816406e+01,1.655999946594238281e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.419440984725952148e+00,2.183256149291992188e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.668353796005249023e-01,7.242379188537597656e-01,3.500000000000000000e+03
9.746826887130737305e-01,9.742922782897949219e-01,2.549104988574981689e-01,9.733052253723144531e-01,1.594999980926513672e+01,1.464000034332275391e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.429539680480957031e+00,2.179368019104003906e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.716640114784240723e-01,8.504977226257324219e-01,4.000000000000000000e+03
9.746826887130737305e-01,9.742003083229064941e-01,2.779398858547210693e-01,9.737288951873779297e-01,1.618000030517578125e+01,1.556000041961669922e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.426120519638061523e+00,2.160337924957275391e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.723315834999084473e-01,6.416802406311035156e-01,4.500000000000000000e+03
9.746826887130737305e-01,9.740843176841735840e-01,2.742017805576324463e-01,9.734322428703308105e-01,1.623200035095214844e+01,1.600000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.437694072723388672e+00,2.137653589248657227e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.722177982330322266e-01,8.166255950927734375e-01,5.000000000000000000e+03
9.746826887130737305e-01,9.742310643196105957e-01,2.576005160808563232e-01,9.682440757751464844e-01,1.656399917602539062e+01,1.668000030517578125e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.418562412261962891e+00,2.134348154067993164e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.583678245544433594e-01,7.270274162292480469e-01,5.500000000000000000e+03
9.746826887130737305e-01,9.745764136314392090e-01,2.888560593128204346e-01,9.734687209129333496e-01,1.632200050354003906e+01,1.364000034332275391e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.425909519195556641e+00,2.158215999603271484e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.718306064605712891e-01,8.066322803497314453e-01,6.000000000000000000e+03
9.746826887130737305e-01,9.743327498435974121e-01,2.679998576641082764e-01,9.724535346031188965e-01,1.642799949645996094e+01,1.531999969482421875e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.433297634124755859e+00,2.134207487106323242e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.672151207923889160e-01,7.182118892669677734e-01,6.500000000000000000e+03
