r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.9746826877108432,1,0,(-0.0100652*x1**2 - 0.2849*x1*x2 - 0.245452*x1*x3 + 55403.3*x1*x4 - 0.0069989*x1*x5 + 0.303953*x1 - 1.42798*x2**2 - 1.72636*x2*x3 + 360813.0*x2*x4 - 0.00379307*x2*x5 + 2.26432*x2 + 9.60563*x3**2 - 302115.0*x3*x4 - 0.00189212*x3*x5 - 12.2996*x3 - 165.124*x4**2 - 551.229*x4*x5 - 3646460.0*x4 - 0.000407903*x5**2 + 0.0112442*x5 + 2.73669)*exp(x1 + x3)*exp(-x4 + exp(x2*(x5 + exp(x2)) + x4*exp(-x5))),"exp,add,add,log,mul,exp,sub,exp,add,div,x4,exp,x5,mul,add,x5,exp,x2,x2,x4,2.73669+0.0112442*x5-3.64646e+06*x4-12.2996*x3+2.26432*x2+0.303953*x1-0.000407903*x5**2-551.229*x4*x5-165.124*x4**2-0.00189212*x3*x5-3.02115e+05*x3*x4+9.60563*x3**2-0.00379307*x2*x5+3.60813e+05*x2*x4-1.72636*x2*x3-1.42798*x2**2-0.0069989*x1*x5+55403.3*x1*x4-0.245452*x1*x3-0.2849*x1*x2-0.0100652*x1**2,x1,x3",0.0006746968661114693,0.0006746968661114693,False
0.9746299035281525,1,0,(-x5 + log(log(x1 - x4)))*(-0.574272*x1**2 + 20.6738*x1*x2 + 3.26087*x1*x3 - 486916.0*x1*x4 - 0.0501854*x1*x5 - 4.37599*x1 + 32.1331*x2**2 + 66.793*x2*x3 - 13465000.0*x2*x4 - 0.621538*x2*x5 - 88.6227*x2 - 189.063*x3**2 + 5978030.0*x3*x4 - 0.472408*x3*x5 + 240.918*x3 + 3254.39*x4**2 + 109079.0*x4*x5 + 71859700.0*x4 + 0.000885028*x5**2 + 0.508401*x5 - 52.3365)*exp(-x2)/x5,"div,exp,sub,log,mul,sub,x5,52.3365+0.491599*x5-7.18597e+07*x4-240.918*x3+88.6227*x2+4.37599*x1-0.000885028*x5**2-1.09079e+05*x4*x5-3254.39*x4**2+0.472408*x3*x5-5.97803e+06*x3*x4+189.063*x3**2+0.621538*x2*x5+1.3465e+07*x2*x4-66.793*x2*x3-32.1331*x2**2+0.0501854*x1*x5+4.86916e+05*x1*x4-3.26087*x1*x3-20.6738*x1*x2+0.574272*x1**2,sub,log,log,sub,sub,add,x5,x1,x4,x5,x5,x2,x5",0.0006775865439473887,0.0006775865439473887,False
0.9746186712397724,1,0,2*x1 + x3*(-0.778109*x1**2 - 6.89128*x1*x2 - 2.94848*x1*x3 + 702036.0*x1*x4 - 0.0489702*x1*x5 + 2.83961*x1 - 25.4538*x2**2 - 33.8792*x2*x3 + 6987380.0*x2*x4 + 0.532754*x2*x5 + 44.084*x2 + 158.04*x3**2 - 4697120.0*x3*x4 - 1.10596*x3*x5 - 199.758*x3 - 2762.7*x4**2 + 155798.0*x4*x5 - 61110400.0*x4 - 0.00215366*x5**2 + 2.14802*x5 + 42.0803) - x5,"sub,x1,sub,x5,add,x1,mul,x3,42.0803+2.14802*x5-6.11104e+07*x4-199.758*x3+44.084*x2+2.83961*x1-0.00215366*x5**2+1.55798e+05*x4*x5-2762.7*x4**2-1.10596*x3*x5-4.69712e+06*x3*x4+158.04*x3**2+0.532754*x2*x5+6.98738e+06*x2*x4-33.8792*x2*x3-25.4538*x2**2-0.0489702*x1*x5+7.02036e+05*x1*x4-2.94848*x1*x3-6.89128*x1*x2-0.778109*x1**2",0.0006782022944847109,0.0006782022944847109,False
0.9745999755940462,1,0,log(log(x2 - log(x2 + x3) - log(0.180782*x1**2 + 1.23335*x1*x2 + 0.988267*x1*x3 - 190685.0*x1*x4 + 0.000860198*x1*x5 - 1.35823*x1 + 3.94048*x2**2 + 5.36659*x2*x3 - 1084890.0*x2*x4 - 0.0779897*x2*x5 - 7.06276*x2 - 29.0294*x3**2 + 796346.0*x3*x4 + 0.00181717*x3*x5 + 35.1734*x3 + 521.448*x4**2 + 276.617*x4*x5 + 11559900.0*x4 + 0.000917948*x5**2 - 0.011061*x5 + log(x3) - 6.14939))),"log,log,sub,x2,add,log,add,-6.14939-0.011061*x5+1.15599e+07*x4+35.1734*x3-7.06276*x2-1.35823*x1+0.000917948*x5**2+276.617*x4*x5+521.448*x4**2+0.00181717*x3*x5+7.96346e+05*x3*x4-29.0294*x3**2-0.0779897*x2*x5-1.08489e+06*x2*x4+5.36659*x2*x3+3.94048*x2**2+0.000860198*x1*x5-1.90685e+05*x1*x4+0.988267*x1*x3+1.23335*x1*x2+0.180782*x1**2,log,x3,log,add,x3,x2",0.0006792278355509375,0.0006792278355509375,False
0.9745865025210683,1,0,x4*(1.75876*x1**2 + 9.05046*x1*x2 + 11.5412*x1*x3 - 2338850.0*x1*x4 - 0.184842*x1*x5 - 15.2643*x1 + 47.5527*x2**2 + 56.4941*x2*x3 - 11783200.0*x2*x4 - 0.969817*x2*x5 - 73.0084*x2 - 350.822*x3**2 + 10013100.0*x3*x4 - 0.0345805*x3*x5 + 442.025*x3 + 6181.26*x4**2 - 4207.02*x4*x5 + 136869000.0*x4 + 0.00403089*x5**2 + 0.0517481*x5 - 92.2639)*log(x1)/(x3*(-x4 + log(x2**2/log(x2*exp(-x2))))),"div,log,x1,mul,div,div,sub,log,div,x2,div,log,div,x2,exp,x2,x2,x4,x4,-92.2639+0.0517481*x5+1.36869e+08*x4+442.025*x3-73.0084*x2-15.2643*x1+0.00403089*x5**2-4207.02*x4*x5+6181.26*x4**2-0.0345805*x3*x5+1.00131e+07*x3*x4-350.822*x3**2-0.969817*x2*x5-1.17832e+07*x2*x4+56.4941*x2*x3+47.5527*x2**2-0.184842*x1*x5-2.33885e+06*x1*x4+11.5412*x1*x3+9.05046*x1*x2+1.75876*x1**2,x3",0.0006799673995754596,0.0006799673995754596,False
0.9745764176851167,1,0,(exp(exp(x2)) + log((0.0960616*x1**2 - 0.868122*x1*x2 - 0.120105*x1*x3 + 26178.2*x1*x4 - 9.32458e-5*x1*x5 + 0.338131*x1 - 0.552248*x2**2 - 0.818737*x2*x3 + 162241.0*x2*x4 + 0.0346901*x2*x5 + 0.645033*x2 + 5.29598*x3**2 - 163793.0*x3*x4 + 0.00157061*x3*x5 - 6.77479*x3 - 91.2956*x4**2 - 210.514*x4*x5 - 2017020.0*x4 - 5.41543e-5*x5**2 - 0.00233462*x5 + 1.6805)*exp(-x1 - exp(x3**2*x4 - x4))))/(x2*x3),"div,div,add,exp,exp,x2,log,div,1.6805-0.00233462*x5-2.01702e+06*x4-6.77479*x3+0.645033*x2+0.338131*x1-5.41543e-05*x5**2-210.514*x4*x5-91.2956*x4**2+0.00157061*x3*x5-1.63793e+05*x3*x4+5.29598*x3**2+0.0346901*x2*x5+1.62241e+05*x2*x4-0.818737*x2*x3-0.552248*x2**2-9.32458e-05*x1*x5+26178.2*x1*x4-0.120105*x1*x3-0.868122*x1*x2+0.0960616*x1**2,exp,add,exp,sub,mul,mul,x3,x3,x4,x4,x1,x3,x2",0.0006805212531947957,0.0006805212531947957,False
0.9745663730142685,1,0,log(x2/(0.0583714*x1**2 + 0.703413*x1*x2 + 0.384979*x1*x3 - 75483.3*x1*x4 + 0.00305254*x1*x5 - 0.535439*x1 + 2.12348*x2**2 + 2.86951*x2*x3 - 583873.0*x2*x4 + x2*x4*exp(-x4) - 0.110463*x2*x5 - 3.78954*x2 - 13.8113*x3**2 + 402853.0*x3*x4 - 0.000771327*x3*x5 + 17.4399*x3 + 242.206*x4**2 + 191.249*x4*x5 + 5360100.0*x4 + 0.000352082*x5**2 + 0.000851822*x5 - 3.66179)),"log,div,x2,sub,mul,x2,exp,sub,log,x4,x4,3.66179-0.000851822*x5-5.3601e+06*x4-17.4399*x3+3.78954*x2+0.535439*x1-0.000352082*x5**2-191.249*x4*x5-242.206*x4**2+0.000771327*x3*x5-4.02853e+05*x3*x4+13.8113*x3**2+0.110463*x2*x5+5.83873e+05*x2*x4-2.86951*x2*x3-2.12348*x2**2-0.00305254*x1*x5+75483.3*x1*x4-0.384979*x1*x3-0.703413*x1*x2-0.0583714*x1**2",0.0006810731364980484,0.0006810731364980484,False
0.9745663730133667,1,0,log(x2*exp(exp(x4**2*(x1**2 - log(x5))))/(0.15867*x1**2 + 1.91207*x1*x2 + 1.04648*x1*x3 - 205185.0*x1*x4 + 0.00829767*x1*x5 - 1.45547*x1 + 5.77222*x2**2 + 7.80013*x2*x3 - 1587130.0*x2*x4 - 0.300269*x2*x5 - 7.58275*x2 - 37.5431*x3**2 + 1095070.0*x3*x4 - 0.00209668*x3*x5 + 47.4066*x3 + 658.385*x4**2 + 519.868*x4*x5 + 14570200.0*x4 + 0.000957059*x5**2 + 0.00231549*x5 - 9.95378)),"log,mul,div,x2,-9.95378+0.00231549*x5+1.45702e+07*x4+47.4066*x3-7.58275*x2-1.45547*x1+0.000957059*x5**2+519.868*x4*x5+658.385*x4**2-0.00209668*x3*x5+1.09507e+06*x3*x4-37.5431*x3**2-0.300269*x2*x5-1.58713e+06*x2*x4+7.80013*x2*x3+5.77222*x2**2+0.00829767*x1*x5-2.05185e+05*x1*x4+1.04648*x1*x3+1.91207*x1*x2+0.15867*x1**2,exp,exp,mul,mul,sub,mul,x1,x1,log,x5,x4,x4",0.0006810731365476076,0.0006810731365476076,False
0.9745663724631677,1,0,exp(-x4)*log(x2/(0.0583712*x1**2 + 0.703412*x1*x2 + 0.384978*x1*x3 - 75483.3*x1*x4 + 0.00305255*x1*x5 - 0.535438*x1 + 2.12348*x2**2 + 2.86951*x2*x3 - 583874.0*x2*x4 - 0.110463*x2*x5 - 2.78954*x2 - 13.8113*x3**2 + 402854.0*x3*x4 - 0.000771325*x3*x5 + 17.44*x3 + 242.207*x4**2 + 191.246*x4*x5 + 5360100.0*x4 + 0.000352083*x5**2 + 0.000851823*x5 - 3.6618)),"div,log,div,x2,-3.6618+0.000851823*x5+5.3601e+06*x4+17.44*x3-2.78954*x2-0.535438*x1+0.000352083*x5**2+191.246*x4*x5+242.207*x4**2-0.000771325*x3*x5+4.02854e+05*x3*x4-13.8113*x3**2-0.110463*x2*x5-5.83874e+05*x2*x4+2.86951*x2*x3+2.12348*x2**2+0.00305255*x1*x5-75483.3*x1*x4+0.384978*x1*x3+0.703412*x1*x2+0.0583712*x1**2,exp,x4",0.0006810731667835728,0.0006810731667835728,False
0.9745651191136561,1,0,5.77197*x1**2 - 3.2029*x1*x2 - 15.1968*x1*x3 + 3559000.0*x1*x4 - 0.112296*x1*x5 + 19.4958*x1 - 33.5364*x2**2 - 34.6251*x2*x3 + 7343230.0*x2*x4 + 0.758437*x2*x5 + 43.9098*x2 + 326.885*x3**2 - 9242890.0*x3*x4 - 0.125514*x3*x5 - 411.301*x3 - 5776.62*x4**2 + 23647.2*x4*x5 - 127941000.0*x4 - 0.0034953*x5**2 + 0.239362*x5 - exp(exp(x1)) + 88.5511,"sub,x3,add,x3,add,exp,exp,x1,-88.5511-0.239362*x5+1.27941e+08*x4+411.301*x3-43.9098*x2-19.4958*x1+0.0034953*x5**2-23647.2*x4*x5+5776.62*x4**2+0.125514*x3*x5+9.24289e+06*x3*x4-326.885*x3**2-0.758437*x2*x5-7.34323e+06*x2*x4+34.6251*x2*x3+33.5364*x2**2+0.112296*x1*x5-3.559e+06*x1*x4+15.1968*x1*x3+3.2029*x1*x2-5.77197*x1**2",0.0006811420459323794,0.0006811420459323794,False
