r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
7.448726296424865723e-01,7.448726296424865723e-01,1.440332084894180298e-01,5.228735804557800293e-01,1.202000045776367188e+01,1.100000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.085728645324707031e+00,1.925000548362731934e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878733217716217041e-01,2.197189331054687500e-01,5.000000000000000000e+02
7.448726296424865723e-01,6.700091958045959473e-01,1.424177139997482300e-01,4.732507765293121338e-01,1.158399963378906250e+01,1.092000007629394531e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.101724624633789062e+00,1.930440306663513184e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878721892833709717e-01,2.270460128784179688e-01,1.000000000000000000e+03
7.448726296424865723e-01,6.150761246681213379e-01,1.367903053760528564e-01,4.541102349758148193e-01,1.192399978637695312e+01,9.880000114440917969e+00,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.092815637588500977e+00,1.886142969131469727e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878721892833709717e-01,6.208348274230957031e-02,1.500000000000000000e+03
7.448726296424865723e-01,6.700517535209655762e-01,1.345740556716918945e-01,4.565297067165374756e-01,1.177999973297119141e+01,1.180000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.097331285476684570e+00,1.926517009735107422e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.817975521087646484e-01,5.259013175964355469e-02,2.000000000000000000e+03
7.448726296424865723e-01,6.773982048034667969e-01,1.355858296155929565e-01,4.595200419425964355e-01,1.169999980926513672e+01,1.043999958038330078e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.095546960830688477e+00,1.878268599510192871e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878721892833709717e-01,5.089354515075683594e-02,2.500000000000000000e+03
7.448726296424865723e-01,6.559963822364807129e-01,1.290570050477981567e-01,4.489405751228332520e-01,1.194400024414062500e+01,1.147999954223632812e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.400000000000000000e+01,2.096658229827880859e+00,1.947118878364562988e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.738130331039428711e-01,5.248379707336425781e-02,3.000000000000000000e+03
7.448726296424865723e-01,6.735488772392272949e-01,1.391575932502746582e-01,4.731431603431701660e-01,1.175199985504150391e+01,1.147999954223632812e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.098144054412841797e+00,1.888254046440124512e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.738130331039428711e-01,5.512595176696777344e-02,3.500000000000000000e+03
7.448726296424865723e-01,6.796193718910217285e-01,1.356438994407653809e-01,4.502816498279571533e-01,1.164000034332275391e+01,1.188000011444091797e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.970000000000000000e+02,2.500000000000000000e+01,2.101228237152099609e+00,1.915919780731201172e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.719398379325866699e-01,6.055974960327148438e-02,4.000000000000000000e+03
7.448726296424865723e-01,6.335499286651611328e-01,1.449220478534698486e-01,4.482733905315399170e-01,1.157199954986572266e+01,1.188000011444091797e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.097786426544189453e+00,1.910426855087280273e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878726661205291748e-01,5.664181709289550781e-02,4.500000000000000000e+03
7.448726296424865723e-01,6.304372549057006836e-01,1.325696408748626709e-01,4.270282685756683350e-01,1.184399986267089844e+01,1.172000026702880859e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.970000000000000000e+02,2.500000000000000000e+01,2.093819618225097656e+00,1.870887756347656250e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.852686882019042969e-01,5.334806442260742188e-02,5.000000000000000000e+03
