r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,expression_named,expression_pretty,m_flow_formula
0.8119480060793756,1,0,x2*x3/(x2 + x3*(x4 + x5)/(x4*x5**2)),"div,mul,x3,x2,add,div,div,div,mul,add,x4,x5,x3,x5,x4,x5,x2",0.053641318712231,0.053641318712231,False,pi2*pi3/(pi2 + pi3*(pi4 + pi5)/(pi4*pi5**2)),"      π₂⋅π₃      
─────────────────
     π₃⋅(π₄ + π₅)
π₂ + ────────────
             2   
        π₄⋅π₅    ",Aref_m2 * (pi2*pi3/(pi2 + pi3*(pi4 + pi5)/(pi4*pi5**2))) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.7448726433335822,1,0,x2*x5*(-x2 + (x1 + x2)/x1) + x4,"add,mul,mul,sub,div,add,div,mul,x1,x2,x1,x1,x1,x2,x5,x2,x4",0.1173140451296842,0.1173140451296842,False,pi2*pi5*(-pi2 + (pi1 + pi2)/pi1) + pi4,"      ⎛      π₁ + π₂⎞     
π₂⋅π₅⋅⎜-π₂ + ───────⎟ + π₄
      ⎝         π₁  ⎠     ",Aref_m2 * (pi2*pi5*(-pi2 + (pi1 + pi2)/pi1) + pi4) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6954618799503633,1,0,x2*(-x1 + x2*(x2 + x3*x5 + x5) + x5),"mul,sub,add,mul,x2,add,add,mul,x5,x3,x5,x2,x5,x1,x2",0.1917505704105257,0.1917505704105257,False,pi2*(-pi1 + pi2*(pi2 + pi3*pi5 + pi5) + pi5),π₂⋅(-π₁ + π₂⋅(π₂ + π₃⋅π₅ + π₅) + π₅),Aref_m2 * (pi2*(-pi1 + pi2*(pi2 + pi3*pi5 + pi5) + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.684106438860566,1,0,x2*x3*(x2 + x5/x3),"mul,mul,x2,add,add,x5,x2,sub,div,x5,x3,x5,x3",0.2132230696879833,0.2132230696879833,False,pi2*pi3*(pi2 + pi5/pi3),"      ⎛     π₅⎞
π₂⋅π₃⋅⎜π₂ + ──⎟
      ⎝     π₃⎠",Aref_m2 * (pi2*pi3*(pi2 + pi5/pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6838375795290158,1,0,x2*(x2*x5 + x5),"mul,x2,add,x5,mul,x5,x2",0.2137541567761637,0.2137541567761637,False,pi2*(pi2*pi5 + pi5),π₂⋅(π₂⋅π₅ + π₅),Aref_m2 * (pi2*(pi2*pi5 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6818780058975252,1,0,x2*(2*x2 + x5),"mul,mul,div,add,x5,add,x2,x2,x5,x5,x2",0.2176576958475465,0.2176576958475465,False,pi2*(2*pi2 + pi5),π₂⋅(2⋅π₂ + π₅),Aref_m2 * (pi2*(2*pi2 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6796193680668317,1,0,x2*(x2 - x4 + x5 + x2*(x2 + x4)/x1),"mul,sub,add,add,x2,x5,mul,add,x4,x2,div,x2,x1,x4,x2",0.2222291438861262,0.2222291438861262,False,pi2*(pi2 - pi4 + pi5 + pi2*(pi2 + pi4)/pi1),"   ⎛               π₂⋅(π₂ + π₄)⎞
π₂⋅⎜π₂ - π₄ + π₅ + ────────────⎟
   ⎝                    π₁     ⎠",Aref_m2 * (pi2*(pi2 - pi4 + pi5 + pi2*(pi2 + pi4)/pi1)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6773981991664992,1,0,x2*(x2 + x4 + x5),"mul,x2,add,x5,add,x2,x4",0.2268012789550224,0.2268012789550224,False,pi2*(pi2 + pi4 + pi5),π₂⋅(π₂ + π₄ + π₅),Aref_m2 * (pi2*(pi2 + pi4 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.677396419150407,1,0,x2*(x2 - x3**2*x4 + x5),"mul,x2,sub,x2,sub,mul,x3,mul,x4,x3,x5",0.2268049737599001,0.2268049737599001,False,pi2*(pi2 - pi3**2*pi4 + pi5),"   ⎛       2        ⎞
π₂⋅⎝π₂ - π₃ ⋅π₄ + π₅⎠",Aref_m2 * (pi2*(pi2 - pi3**2*pi4 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6771805066828788,1,0,x2*(2*x2*x5 + x5),"mul,add,mul,x5,add,sub,x3,sub,x3,x2,x2,x5,x2",0.227253513802651,0.227253513802651,False,pi2*(2*pi2*pi5 + pi5),π₂⋅(2⋅π₂⋅π₅ + π₅),Aref_m2 * (pi2*(2*pi2*pi5 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
